taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
2758701,2042,FALSE,FALSE,FALSE,FALSE
698440,7743,TRUE,TRUE,TRUE,TRUE
565419,1201,FALSE,FALSE,FALSE,FALSE
582885,7653,TRUE,TRUE,TRUE,TRUE
101852,7723,TRUE,TRUE,TRUE,TRUE
127520,1442,FALSE,FALSE,FALSE,FALSE
1802957,7428,TRUE,TRUE,TRUE,TRUE
318438,2052,FALSE,FALSE,FALSE,FALSE
2382096,2052,FALSE,FALSE,FALSE,FALSE
265078,1241,FALSE,FALSE,FALSE,FALSE
1316788,7738,TRUE,TRUE,TRUE,TRUE
215461,2052,FALSE,FALSE,FALSE,FALSE
2315881,1427,FALSE,FALSE,FALSE,FALSE
2656787,7757,TRUE,TRUE,TRUE,TRUE
38037,7336,TRUE,TRUE,TRUE,TRUE
210010,7614,TRUE,TRUE,TRUE,TRUE
164535,708,FALSE,FALSE,FALSE,FALSE
164537,1449,FALSE,FALSE,FALSE,FALSE
91931,2042,FALSE,FALSE,FALSE,FALSE
39932,7434,TRUE,TRUE,TRUE,TRUE
292464,7015,TRUE,TRUE,TRUE,TRUE
1436886,7713,TRUE,TRUE,TRUE,TRUE
296797,2052,FALSE,FALSE,FALSE,FALSE
1792687,2052,FALSE,FALSE,FALSE,FALSE
1282988,2052,FALSE,FALSE,FALSE,FALSE
34373,7772,TRUE,TRUE,TRUE,TRUE
157594,7047,TRUE,TRUE,TRUE,TRUE
135283,804,FALSE,FALSE,FALSE,FALSE
62718,1061,FALSE,FALSE,FALSE,FALSE
78156,7770,TRUE,TRUE,TRUE,TRUE
655981,7744,TRUE,TRUE,TRUE,TRUE
342668,7751,TRUE,TRUE,TRUE,TRUE
79858,7687,TRUE,TRUE,TRUE,TRUE
95333,1268,FALSE,FALSE,FALSE,FALSE
5101,7744,TRUE,TRUE,TRUE,TRUE
78138,5843,FALSE,FALSE,TRUE,TRUE
1921597,2052,FALSE,FALSE,FALSE,FALSE
1715249,7741,TRUE,TRUE,TRUE,TRUE
290614,2052,FALSE,FALSE,FALSE,FALSE
1955577,7722,TRUE,TRUE,TRUE,TRUE
1749283,1674,FALSE,FALSE,FALSE,FALSE
5052,7775,TRUE,TRUE,TRUE,TRUE
306088,7775,TRUE,TRUE,TRUE,TRUE
33178,7773,TRUE,TRUE,TRUE,TRUE
5061,7772,TRUE,TRUE,TRUE,TRUE
5053,7771,TRUE,TRUE,TRUE,TRUE
5059,7767,TRUE,TRUE,TRUE,TRUE
5062,7774,TRUE,TRUE,TRUE,TRUE
5057,7772,TRUE,TRUE,TRUE,TRUE
746128,7775,TRUE,TRUE,TRUE,TRUE
36630,7772,TRUE,TRUE,TRUE,TRUE
162425,7774,TRUE,TRUE,TRUE,TRUE
46472,7771,TRUE,TRUE,TRUE,TRUE
319627,7774,TRUE,TRUE,TRUE,TRUE
209559,7774,TRUE,TRUE,TRUE,TRUE
41959,7774,TRUE,TRUE,TRUE,TRUE
41058,7774,TRUE,TRUE,TRUE,TRUE
979771,7773,TRUE,TRUE,TRUE,TRUE
319626,7773,TRUE,TRUE,TRUE,TRUE
1810919,7773,TRUE,TRUE,TRUE,TRUE
41067,7770,TRUE,TRUE,TRUE,TRUE
