"","kingdom","phylum","class","order","family","genus","species"
"154395","Fungi","Basidiomycota",NA,NA,NA,NA,"leaf litter basidiomycete sp. 14/2-27"
"101506","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Circinomucor","Circinomucor circinelloides"
"4852","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Cunninghamella",NA
"36079","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Lentamycetaceae","Lentamyces","Lentamyces zychae"
"203504","Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","Glomus sp. R1.2"
"1117309","Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis","Funneliformis coronatus"
"382554","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophydiales","Rhizophydiaceae","Rhizophydium","Rhizophydium sp. JEL292"
"1253927","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus sp. 17WV14"
"91484","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus navahoensis"
"36642","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus terricola"
"176163","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus asperescens"
"1470541","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus neoniveus"
"1343376","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium catenatum"
"36647","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium thomii"
"2024002","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium parvofructum"
"449096","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium ramusculum"
"466137","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium cinnamopurpureum"
"91632","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium hirayamae"
"1410518","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces viridulus"
"5540","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Thermomyces",NA
"2060911","Fungi","Ascomycota","Eurotiomycetes","Onygenales",NA,NA,"Onygenales sp. BGE-2017a"
"386627","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora chaetospira"
"1950116","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia","Capronia sp."
"633448","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia","Capronia sp. WUC 26"
"999385","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Phialophora","Phialophora sp. CGMCC 3328"
"858610","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","Cyphellophora vermispora"
"1934182","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,"Chaetothyriales sp. Pet5a"
"2599666","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae","Muellerella","Muellerella ventosicola"
"172328","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae","Dermatocarpon","Dermatocarpon miniatum"
"364725","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae","Staurothele","Staurothele fissa"
"931619","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae","Placidium","Placidium imbecillum"
"282272","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium acaciae-mearnsii"
"48490","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium circinatum"
"227883","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium konzum"
"120645","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium phaseoli"
"232082","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium virguliforme"
"56642","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium flocciferum"
"1824726","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium sp. OTU091 AN-2016"
